 time[s]              longitude[deg]       latitude[deg]        azimuth[deg]
 6.8000010003913E+03  8.6572274775740E+01 -1.5893454112207E+02  4.5000584059717E+01
 6.8000025003913E+03  8.6572293872772E+01 -1.5893422170798E+02  4.5000584059717E+01
 6.8000040003913E+03  8.6572312969803E+01 -1.5893390229211E+02  4.5000584059717E+01
 6.8000055003913E+03  8.6572332066835E+01 -1.5893358287447E+02  4.5000584059717E+01
 6.8000070003913E+03  8.6572351163866E+01 -1.5893326345505E+02  4.5000584059717E+01
 6.8000085003913E+03  8.6572370260898E+01 -1.5893294403385E+02  4.5000584059717E+01
 6.8999910004116E+03  8.7845282014070E+01 -1.3232465081560E+02  4.5000584059651E+01
 6.8999925004116E+03  8.7845301111070E+01 -1.3232414287334E+02  4.5000584059651E+01
 6.8999940004116E+03  8.7845320208070E+01 -1.3232363492658E+02  4.5000584059651E+01
 6.8999955004116E+03  8.7845339305070E+01 -1.3232312697532E+02  4.5000584059651E+01
 6.8999970004116E+03  8.7845358402070E+01 -1.3232261901956E+02  4.5000584059651E+01
 6.8999985004116E+03  8.7845377499070E+01 -1.3232211105930E+02  4.5000584059651E+01
 6.9000000004116E+03  8.7845396596071E+01 -1.3232160309454E+02  4.5000584059651E+01
 6.9000015004116E+03  8.7845415693071E+01 -1.3232109512528E+02  4.5000584059651E+01
 6.9000030004116E+03  8.7845434790071E+01 -1.3232058715152E+02  4.5000584059651E+01
 6.9000045004116E+03  8.7845453887071E+01 -1.3232007917326E+02  4.5000584059651E+01
 6.9000060004116E+03  8.7845472984071E+01 -1.3231957119050E+02  4.5000584059651E+01
 6.9000075004116E+03  8.7845492081071E+01 -1.3231906320324E+02  4.5000584059651E+01
 6.9000090004116E+03  8.7845511178072E+01 -1.3231855521148E+02  4.5000584059651E+01
 6.9999900004320E+03  8.9118399730120E+01 -8.1113365582122E+01  4.5000584059718E+01
 6.9999915004320E+03  8.9118418826998E+01 -8.1112124348903E+01  4.5000584059718E+01
 6.9999930004320E+03  8.9118437923875E+01 -8.1110883088797E+01  4.5000584059718E+01
 6.9999945004320E+03  8.9118457020753E+01 -8.1109641801804E+01  4.5000584059718E+01
 6.9999960004320E+03  8.9118476117631E+01 -8.1108400487922E+01  4.5000584059718E+01
 6.9999975004320E+03  8.9118495214509E+01 -8.1107159147151E+01  4.5000584059718E+01
 6.9999990004320E+03  8.9118514311387E+01 -8.1105917779489E+01  4.5000584059718E+01
 7.0000005004320E+03  8.9118533408265E+01 -8.1104676384935E+01  4.5000584059718E+01
 7.0000020004320E+03  8.9118552505142E+01 -8.1103434963488E+01  4.5000584059718E+01
 7.0000035004320E+03  8.9118571602020E+01 -8.1102193515147E+01  4.5000584059718E+01
 7.0000050004320E+03  8.9118590698898E+01 -8.1100952039910E+01  4.5000584059718E+01
 7.0000065004320E+03  8.9118609795776E+01 -8.1099710537776E+01  4.5000584059718E+01
 7.0000080004320E+03  8.9118628892654E+01 -8.1098469008745E+01  4.5000584059718E+01
 7.0000095004320E+03  8.9118647989532E+01 -8.1097227452815E+01  4.5000584059718E+01
 7.0999905004524E+03  8.9999980902526E+01  3.1521050732084E+01  4.5000584059534E+01
 7.0999920004524E+03  8.9999980902526E+01  1.2151988262111E+02  4.5000584059534E+01
 7.0999935004524E+03  8.9999980902526E+01 -1.4848128548987E+02  4.5000584059534E+01
 7.0999950004524E+03  8.9999980902526E+01 -5.8482453600846E+01  4.5000584059534E+01
 7.0999965004524E+03  8.9999980902526E+01  3.1516378288178E+01  4.5000584059534E+01
 7.0999980004524E+03  8.9999980902526E+01  1.2151521017720E+02  4.5000584059534E+01
 7.0999995004524E+03  8.9999980902526E+01 -1.4848595793378E+02  4.5000584059534E+01
 7.1000010004524E+03  8.9999980902526E+01 -5.8487126044751E+01  4.5000584059534E+01
 7.1000025004524E+03  8.9999980902526E+01  3.1511705844272E+01  4.5000584059534E+01
 7.1000040004524E+03  8.9999980902526E+01  1.2151053773330E+02  4.5000584059534E+01
 7.1000055004524E+03  8.9999980902526E+01 -1.4849063037768E+02  4.5000584059534E+01
 7.1000070004524E+03  8.9999980902526E+01 -5.8491798488657E+01  4.5000584059534E+01
 7.1000085004524E+03  8.9999980902526E+01  3.1507033400367E+01  4.5000584059534E+01
 7.1999910004728E+03  8.9999980902526E+01 -1.3635419438259E+02  4.5000584059641E+01
 7.1999925004728E+03  8.9999980902526E+01 -4.6355362520925E+01  4.5000584059641E+01
 7.1999940004728E+03  8.9999980902526E+01  4.3643469340738E+01  4.5000584059641E+01
 7.1999955004728E+03  8.9999980902526E+01  1.3364230120240E+02  4.5000584059641E+01
 7.1999970004728E+03  8.9999980902526E+01 -1.3635886693594E+02  4.5000584059641E+01
 7.1999985004728E+03  8.9999980902526E+01 -4.6360035074272E+01  4.5000584059641E+01
 7.2000000004728E+03  8.9999980902526E+01  4.3638796787391E+01  4.5000584059641E+01
 7.2000015004728E+03  8.9999980902526E+01  1.3363762864905E+02  4.5000584059641E+01
 7.2000030004728E+03  8.9999980902526E+01 -1.3636353948928E+02  4.5000584059641E+01
 7.2000045004728E+03  8.9999980902526E+01 -4.6364707627619E+01  4.5000584059641E+01
 7.2000060004728E+03  8.9999980902526E+01  4.3634124234045E+01  4.5000584059641E+01
 7.2000075004728E+03  8.9999980902526E+01  1.3363295609571E+02  4.5000584059641E+01
 7.2000090004728E+03  8.9999980902526E+01 -1.3636821204263E+02  4.5000584059641E+01
 7.2999900004931E+03  8.9999980902526E+01 -3.4227916809377E+01  4.5000584059623E+01
 7.2999915004931E+03  8.9999980902526E+01  5.5770915124163E+01  4.5000584059623E+01
 7.2999930004931E+03  8.9999980902526E+01  1.4576974705770E+02  4.5000584059623E+01
 7.2999945004931E+03  8.9999980902526E+01 -1.2423142100876E+02  4.5000584059623E+01
 7.2999960004931E+03  8.9999980902526E+01 -3.4232589075217E+01  4.5000584059623E+01
 7.2999975004931E+03  8.9999980902526E+01  5.5766242858323E+01  4.5000584059623E+01
 7.2999990004931E+03  8.9999980902526E+01  1.4576507479186E+02  4.5000584059623E+01
 7.3000005004931E+03  8.9999980902526E+01 -1.2423609327460E+02  4.5000584059623E+01
 7.3000020004931E+03  8.9999980902526E+01 -3.4237261341058E+01  4.5000584059623E+01
 7.3000035004931E+03  8.9999980902526E+01  5.5761570592482E+01  4.5000584059623E+01
 7.3000050004931E+03  8.9999980902526E+01  1.4576040252602E+02  4.5000584059623E+01
 7.3000065004931E+03  8.9999980902526E+01 -1.2424076554044E+02  4.5000584059623E+01
 7.3000080004931E+03  8.9999980902526E+01 -3.4241933606900E+01  4.5000584059623E+01
 7.3000095004931E+03  8.9999980902526E+01  5.5756898326639E+01  4.5000584059623E+01
 7.3999905005135E+03  8.9999980902526E+01  1.5789697782032E+02  4.5000584059691E+01
 7.3999920005135E+03  8.9999980902526E+01 -1.1210419031638E+02  4.5000584059691E+01
