 Scott Sterling
            t(sec)              u(ft/sec)               v(ft/sec)               w(ft/sec)              p(rad/sec)            q(rad/sec)            r(rad/sec)               x(ft)                   y(ft)                   z(ft)                 e0                     ex                    ey                    ez
     5.200000000000E-01     1.152262455549E+02     0.000000000000E+00    -4.194643073206E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.003733025528E+01     0.000000000000E+00    -4.154120357593E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.300000000000E-01     1.152172193034E+02     0.000000000000E+00    -3.872587885949E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.118954758458E+01     0.000000000000E+00    -4.158153970989E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.400000000000E-01     1.152081871819E+02     0.000000000000E+00    -3.550557716142E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.234167462178E+01     0.000000000000E+00    -4.161865541704E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.500000000000E-01     1.151991494833E+02     0.000000000000E+00    -3.228552607065E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.349371130963E+01     0.000000000000E+00    -4.165255094775E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.600000000000E-01     1.151901065014E+02     0.000000000000E+00    -2.906572599575E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.464565759383E+01     0.000000000000E+00    -4.168322655285E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.700000000000E-01     1.151810585308E+02     0.000000000000E+00    -2.584617732089E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.579751342303E+01     0.000000000000E+00    -4.171068248354E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.800000000000E-01     1.151720058668E+02     0.000000000000E+00    -2.262688040575E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.694927874880E+01     0.000000000000E+00    -4.173491899141E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     5.900000000000E-01     1.151629488056E+02     0.000000000000E+00    -1.940783558548E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.810095352571E+01     0.000000000000E+00    -4.175593632839E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.000000000000E-01     1.151538876438E+02     0.000000000000E+00    -1.618904317051E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     6.925253771125E+01     0.000000000000E+00    -4.177373474672E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.100000000000E-01     1.151448226788E+02     0.000000000000E+00    -1.297050344657E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.040403126591E+01     0.000000000000E+00    -4.178831449896E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.200000000000E-01     1.151357542086E+02     0.000000000000E+00    -9.752216674521E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.155543415314E+01     0.000000000000E+00    -4.179967583793E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.300000000000E-01     1.151266825317E+02     0.000000000000E+00    -6.534183090338E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.270674633939E+01     0.000000000000E+00    -4.180781901670E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.400000000000E-01     1.151176079471E+02     0.000000000000E+00    -3.316402905020E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.385796779408E+01     0.000000000000E+00    -4.181274428858E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.500000000000E-01     1.151085307543E+02     0.000000000000E+00    -9.887630453214E-03     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.500909848964E+01     0.000000000000E+00    -4.181445190704E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.600000000000E-01     1.150994512532E+02     0.000000000000E+00     3.118396550249E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.616013840147E+01     0.000000000000E+00    -4.181294212577E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.700000000000E-01     1.150903697441E+02     0.000000000000E+00     6.335415523589E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.731108750801E+01     0.000000000000E+00    -4.180821519857E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.800000000000E-01     1.150812865276E+02     0.000000000000E+00     9.552180504931E-01     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.846194579066E+01     0.000000000000E+00    -4.180027137939E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     6.900000000000E-01     1.150722019046E+02     0.000000000000E+00     1.276869140895E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     7.961271323387E+01     0.000000000000E+00    -4.178911092225E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.000000000000E-01     1.150631161762E+02     0.000000000000E+00     1.598494817555E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.076338982507E+01     0.000000000000E+00    -4.177473408128E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.100000000000E-01     1.150540296438E+02     0.000000000000E+00     1.920095076994E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.191397555472E+01     0.000000000000E+00    -4.175714111063E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.200000000000E-01     1.150449426089E+02     0.000000000000E+00     2.241669918260E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.306447041627E+01     0.000000000000E+00    -4.173633226447E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.300000000000E-01     1.150358553730E+02     0.000000000000E+00     2.563219342935E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.421487440622E+01     0.000000000000E+00    -4.171230779698E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.400000000000E-01     1.150267682380E+02     0.000000000000E+00     2.884743355130E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.536518752407E+01     0.000000000000E+00    -4.168506796232E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.500000000000E-01     1.150176815054E+02     0.000000000000E+00     3.206241961488E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.651540977232E+01     0.000000000000E+00    -4.165461301457E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.600000000000E-01     1.150085954770E+02     0.000000000000E+00     3.527715171185E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.766554115652E+01     0.000000000000E+00    -4.162094320774E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.700000000000E-01     1.149995104544E+02     0.000000000000E+00     3.849162995925E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.881558168522E+01     0.000000000000E+00    -4.158405879576E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.800000000000E-01     1.149904267392E+02     0.000000000000E+00     4.170585449941E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     8.996553136997E+01     0.000000000000E+00    -4.154396003240E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     7.900000000000E-01     1.149813446326E+02     0.000000000000E+00     4.491982549992E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.111539022536E+01     0.000000000000E+00    -4.150064717127E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.000000000000E-01     1.149722644360E+02     0.000000000000E+00     4.813354315360E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.226515826899E+01     0.000000000000E+00    -4.145412046584E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.100000000000E-01     1.149631864501E+02     0.000000000000E+00     5.134700767846E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.341483552145E+01     0.000000000000E+00    -4.140438016934E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.200000000000E-01     1.149541109757E+02     0.000000000000E+00     5.456021931767E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.456442200636E+01     0.000000000000E+00    -4.135142653478E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.300000000000E-01     1.149450383132E+02     0.000000000000E+00     5.777317833949E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.571391775034E+01     0.000000000000E+00    -4.129525981492E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.400000000000E-01     1.149359687624E+02     0.000000000000E+00     6.098588503722E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.686332278300E+01     0.000000000000E+00    -4.123588026221E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.500000000000E-01     1.149269026228E+02     0.000000000000E+00     6.419833972916E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.801263713696E+01     0.000000000000E+00    -4.117328812884E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.600000000000E-01     1.149178401937E+02     0.000000000000E+00     6.741054275854E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     9.916186084782E+01     0.000000000000E+00    -4.110748366664E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.700000000000E-01     1.149087817736E+02     0.000000000000E+00     7.062249449343E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.003109939542E+02     0.000000000000E+00    -4.103846712709E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.800000000000E-01     1.148997276605E+02     0.000000000000E+00     7.383419532664E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.014600364977E+02     0.000000000000E+00    -4.096623876129E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     8.900000000000E-01     1.148906781519E+02     0.000000000000E+00     7.704564567572E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.026089885228E+02     0.000000000000E+00    -4.089079881993E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.000000000000E-01     1.148816335446E+02     0.000000000000E+00     8.025684598277E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.037578500770E+02     0.000000000000E+00    -4.081214755329E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.100000000000E-01     1.148725941347E+02     0.000000000000E+00     8.346779671440E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.049066212110E+02     0.000000000000E+00    -4.073028521116E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.200000000000E-01     1.148635602178E+02     0.000000000000E+00     8.667849836162E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.060553019780E+02     0.000000000000E+00    -4.064521204289E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.300000000000E-01     1.148545320885E+02     0.000000000000E+00     8.988895143974E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.072038924346E+02     0.000000000000E+00    -4.055692829729E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
     9.400000000000E-01     1.148455100406E+02     0.000000000000E+00     9.309915648822E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00     1.083523926401E+02     0.000000000000E+00    -4.046543422268E+01     1.000000000000E+00     0.000000000000E+00     0.000000000000E+00     0.000000000000E+00
